serial,description,meter,historical_matches
16 -13251,JOHN DEERE 850 DOZER,1361.0,1
16 12635,CAT D3,3322,1
16 13609,CAT D3,2411,1
16-10016,1989 CATERPILLAR D5H LGP,3190.0,7
16-10181,2012 CATERPILLAR D6T LGP,N/A,11
16-10184,2012 CATERPILLAR D6T LGP,10939.1,12
16-10248,2012 CATERPILLAR D5K2 LGP,8235.0,1
16-10255,2013 CATERPILLAR D6TLGP4,11450.6,17
16-10256,2013 CATERPILLAR D6T LGP,12051.0,21
16-10258,CAT D6 DOZER,N/A,5
16-103259,2021 CATERPILLAR D3 LGP 3D,3234.1,1
16-10427,2013 CATERPILLAR D6TLGP4,11519.5,5
16-10447,2013 CATERPILLAR D6TLGP4,11969.1,8
16-10449,CAT D6 (SB),10044.6,1
16-10508,2014 CATERPILLAR D6TLG94 6W BLADE,10457.8,3
16-10509,2014 CATERPILLAR D6TLGP4 PART 6W BLADE,11048.3,5
16-10629,2014 CATERPILLAR D6TLGP4,11416.2,1
16-10701,2014 CATERPLLAR D6T4 LGP,12174.0,15
16-10773,2014 CATERPILLAR D6T4 LGP,11317.7,23
16-10782,2014 CATERPILLAR D6T4 LGP,11197.4,10
16-10853,2015 CATERPILLAR D6T4 LGP VPAT,10822.1,5
16-1090,CAT D6 DOZER,3849.0,2
16-10903,2015 CATERPILLAR D6T4 LGP VPAT 6W BLADE,10267.3,19
16-10904,2015 CATERPILLAR D6T4 LGP VPAT 6W BLADE,9871,62
16-10913,CAT D6 DOZER,7644.0,1
16-10918,2015 CATERPILLAR D6T4 LGP,12758,1
16-10920,2015 CATERPILLAR D6T4 LGP,11132.6,4
16-11058,2015 CATERPILLAR D5K2 LGP,7992.9,1
16-11075,2015 CATERPILLAR D5K2 LGP,5536.3,41
16-11169,PICK-UP TRUCK,145168,1
16-11218,CAT D6,11077.0,12
16-11219,2016 CATERPILLAR D6T4 LGP CGC,10793.6,14
16-11220,CAT D6,11204.7,4
16-11222,CAT D6,11212.6,3
16-11223,2016 CATERPILLAR D6T4 LGP CGC,10212.4,4
16-11224,2016 CATERPILLAR D6T4 LGP CGC PAT,9200.0,1
16-11399,2016 CATERPILLAR D5K2 LGP,5664.0,48
16-11500,2017 CATERPILLAR D6T LGP CGC,8216.1,21
16-11505,2017 CATERPILLAR D6T LGP CGC,8943.2,12
16-11506,2017 CATERPILLAR D6TL LGP CGC,8458.7,8
16-11507,2017 CATERPILLAR D6T LGP CGC,9694.1,8
16-11586,2017 CATERPILLAR D5K2 LGP,6117.3,37
16-11759,2018 CATERPILLAR D6T LGP VPAT CGC,8048,20
16-1176,CAT D6 DOZER,5862.0,1
16-11761,CAT D6,4103,3
16-11762,2018 CATERPILLAR D6T LGP CGC,11054.3,15
16-11763,2018 CATERPILLAR D6T LGP CGC,9983.4,20
16-11781,CAT D6 DOZER,8359.6,1
16-11822,CAT D5 DOZER,4067.4,46
16-12125,20FT CONTAINER,N/A,1
16-12146,2019 CATERPILLAR D6 LGP CGC,9430.2,25
16-12147,2019 CATERPILLAR D6 LGP CGC,6853.2,24
16-12288,2019 CATERPILLAR D6T LGP CGC,8640,1
16-12371,2019 CATERPILLAR D5K2 LGP CGC,4886.0,53
16-12676,CAT D6 DOZER,1375.0,67
16-12678,CAT D6 DOZER,1489,12
16-12679,2020 CATERPILLAR D6 LGP CGC,6869.0,12
16-12776,KOMATSU D65 DOZER,655,1
16-1321,2020 CATERPILLAR D6 L,1352.6,1
16-13212,2020 CATERPILLAR D6XE LGP CGC (20A),3959.9,16
16-13213,2021 CATERPILLAR D6XE LGP CGC (20A),6785.0,24
16-13228,CAT D6 DOZER,4727.8,1
16-13248,2021 CATERPILLAR D3 LGP 3D,715.3,39
16-13251,JOHN DEERE 850 DOZER,1795.2,10
16-13259,2021 CATERPILLAR D3 LGP 3D,3261.8,8
16-13287,CAT D6 DOZER,3524.0,4
16-13288,2020 CATERPILLAR D6XE,7940.4,24
16-13299,CAT D6 DOZER,2849.0,15
16-13300,2018 CATERPILLAR D6T LGP,2690.5,4
16-13325,2021 CATERPILLAR D6XE LGP VPAT 3D 20B,N/A,32
16-13403,JOHN DEERE 850 DOZER,458.0,1
16-13521,2022 CAPERPILLAR D6XE LGP 3D (20B),2916.0,9
16-13522,2022 CATERPILLAR D6XE LGP 3D (20B),804.9,58
16-13523,2022 CATERPILLAR D6XE LGP 3D,3187.8,21
16-13524,2022 CATERPILLAR D6XE LGP 3D,1911,4
16-13564,JOHN DEERE 650 DOZER,850.0,2
16-13609,2022 CATERPILLAR D3 LGP 3D,N/A,74
16-13625,CAT D3,3245,8
16-13645,2019 JOHN DEERE 650K,93.5,4
16-13769,2016 CATERPILLAR D6TL,4433.0,5
16-13839,2020 CATERPILLAR D6-20,1432.4,8
16-13875,CATERPILLAR D6T,3897.5,10
16-13876,CATERPILLAR D6T,2728.6,9
16-13877,CATERPILLAR D6T,3016.0,1
16-1389,2020 CATERPILLAR D6-20,1343.3,1
16-13913,CAT D8 PULL TRACTOR,3438,1
16-13950,CATERPILLAR D6T,3025.3,5
16-13976,2017 CATERPILLAR D6TLGP,4135.5,10
16-1399,CAT D5 DOZER,4636.6,1
16-13994,2022 CATERPILLAR D3 LGP,2401.3,13
16-14054,2023 CATERPILLAR D6XE LGP VPAT 3D 20B,4015,9
16-14055,2023 CATERPILLAR D6XE LGP VPAT,4434.5,16
16-14056,2023 CATERPILLAR D6XE LGP 3D,1286.0,14
16-14057,2023 CATERPILLAR D6XE LGP VPAT 3D 20B,1864.5,17
16-14058,CATERPILLAR D6,1035.6,7
16-14104,2022 JOHN DEERE 650K,49.6,2
16-14105,CATERPILLAR D5K2 LGP,2335.0,3
16-14128,2019 CATERPILLAR D6XE LGP VPAT (20A),8702.4,18
16-14356,2016 CATERPILLAR D6T LGP,3506.0,1
16-14512,2023 CATERPILLAR D3 LGP 3D,2156.9,23
16-14513,2023 CATERPILLAR D3 LGP 3D,3164.0,6
16-14515,2023 CATERPILLAR D3 LGP 3D,4.3,5
16-14571,2021 CATERPILLAR D6XE LGP (20A),2343.3,1
16-147,JOHN DEERE,309.3,1
